CompanyName,ContactName,Location,CodeNumber,BusinessType,dba,OpenedDate,BLGLOBALENTITYEXTENSIONID,BusinessPhone,ADDRESSLINE1,ADDRESSLINE2,ADDRESSLINE3,PREDIRECTION,STREETTYPE,POSTDIRECTION,UNITORSUITE,CITY,STATE,POSTALCODE,ISSUEDDATE,LICENSENUMBER,EXPIRATIONDATE
,DONALD ODEN,Inside City Limits,811122,Auto-Glass Replacement Shop,,00:00.0,A5CDB9C6-1891-4107-9522-89F946E81935,5414794444,307,G,,SW,ST,, ,GRANTS PASS,OR,97526,28:27.0,BTAX-034563-07-2023,28:27.0
,NICK  BAIDA,Inside City Limits,812320,Dry Cleaning Services,,00:00.0,7DFE1F9C-709F-4D82-BE36-9963FAE7A5EC,5419971608,870,D,,NE,ST,, ,GRANTS PASS,OR,97526,29:07.0,BTAX-036021-09-2023,29:07.0
,Michael Moran,Inside City Limits,238190,Contractor-General/Building Exterior,,00:00.0,2EAECEA0-0D8E-445B-A104-53954F3543E6,5416602004,1532,SCHUTZWOHL,,,LN,,,GRANTS PASS,OR,97527,27:47.0,BTAX-037355-05-2024,27:47.0
,MICHAEL MORAN,Inside City Limits,238190,Contractor-General/Building Exterior,,00:00.0,2EAECEA0-0D8E-445B-A104-53954F3543E6,5416602004,1532,SCHUTZWOHL,,,LN,,,GRANTS PASS,OR,97527,27:47.0,BTAX-037355-05-2024,27:47.0
1ST CHOICE WINDOWS DOORS & MORE INC., ,Inside City Limits,425120,Wholesale Agent,,00:00.0,eb2478eb-702d-40f9-a345-ae75f2d97144,5419566185,1470,M,,SE,St,,2A,GRANTS PASS,OR,97526,10:44.0,BTAX-035051-07-2023,10:44.0
1ST CHOICE WINDOWS DOORS & MORE INC.,"LEN FISHER, ERIK OTT",Inside City Limits,425120,Wholesale Agent,,00:00.0,eb2478eb-702d-40f9-a345-ae75f2d97144,5419566185,1470,M,,SE,St,,2A,GRANTS PASS,OR,97526,10:44.0,BTAX-035051-07-2023,10:44.0
3 BOYS CLASSIC TOWING         ,RICHY & TERESA  LUKER,Inside City Limits,488410,Towing,,00:00.0,688989EB-44E7-48BC-B5CD-89034F69EBF1,5414793530,1537,ROGUE RIVER,, ,HWY,, ,GRANTS PASS,OR,97527,19:38.0,BTAX-034589-07-2023,19:38.0
3 SEVENS TATTOO               ,JEREMY  ELLEDGE,Inside City Limits,812199,Tattoo/Piercing Shop,,00:00.0,A76D8C40-D171-44A0-9955-D06699A0FE1E,5418909777,1312,REDWOOD,,,AVE,,B,GRANTS PASS,OR,97527,45:51.0,BTAX-034595-07-2023,45:51.0
3R'S TUTORING                 ,MAUREEN  MCCARTHY,Inside City Limits,611710,Educational Support Services,,00:00.0,421FECD8-B73F-45B2-AF9A-3ED6D694D5A2,5414412689,1210,ORIOLE,,SE,ST,, ,GRANTS PASS,OR,97526,25:23.0,BTAX-034643-07-2023,25:23.0
4 PROPERTY REAL ESTATE        ,JAMES  BALL,Inside City Limits,531210,Real Estate Agents/Brokers,,00:00.0,A951DA94-9D40-4A14-9F56-4B22519D84A7,5417614320,432,6TH,,NW,ST,, ,GRANTS PASS,OR,97526,25:05.0,BTAX-035173-07-2023,25:05.0
4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS, ,Inside City Limits,813990,Organization-Misc,,00:00.0,0373c72d-9c18-4989-a647-1944e064cd3a,5414766613,215,RINGUETTE,, ,ST,, ,GRANTS PASS,OR,97527,01:33.0,BTAX-035890-09-2023,01:33.0
5 STAR PEST CONTROL           ,REBECCA  BERUBEE,Inside City Limits,561710,Pest Control,,00:00.0,AB6BD1ED-C23E-4F9F-AA32-0A7326A42EA1,5414413755,233,ROGUE RIVER,, ,HWY,,#898,GRANTS PASS,OR,97527,57:28.0,BTAX-035085-07-2023,57:28.0
541 MOTORSPORTS INC           ,SPENCER  APLAND,Inside City Limits,441310,Retail-Automotive Parts & Accessories,,00:00.0,650A031D-E05A-4297-A582-895747DADB6F,5417615431,525,F,,NW,ST,, ,GRANTS PASS,OR,97526,12:03.0,BTAX-037102-03-2024,12:03.0
541 PROPERTY MANAGEMENT LLC,JEANETTE DARROW,Outside City Limits,531311,Property Management,,00:00.0,1f37609a-4fc5-434c-bfce-a0fc80d6e6b7,5414761026,3098,UNIVERSITY,, ,RD,,B,GRANTS PASS,OR,97527,29:00.0,BTAX-034952-07-2023,29:00.0
541 PROPERTY MANAGEMENT LLC, ,Outside City Limits,531311,Property Management,,00:00.0,1f37609a-4fc5-434c-bfce-a0fc80d6e6b7,5414761026,3098,UNIVERSITY,, ,RD,,B,GRANTS PASS,OR,97527,29:00.0,BTAX-034952-07-2023,29:00.0
"7-ELEVEN, INC", ,Inside City Limits,445120,Convenience Store,7-ELEVEN #22674J,00:00.0,1EBA2C16-C46B-40D5-9046-177A4BC49986,5414740997,790,6TH,,SW,ST,, ,GRANTS PASS,OR,97526,47:43.0,BTAX-035328-07-2023,47:43.0
7TH ST CARDLOCK, ,Inside City Limits,447190,Gas Station,,00:00.0,aa2d9930-d16e-4e4e-8d1d-fd691703ae5a,5417722053,625,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,39:23.0,BTAX-035670-08-2023,39:23.0
7TH ST CARDLOCK, ,Inside City Limits,447190,Gas Station,,00:00.0,aa2d9930-d16e-4e4e-8d1d-fd691703ae5a,5417722053,625,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,39:23.0,BTAX-035670-08-2023,39:23.0
808 OHANA GRINDZ, ,Inside City Limits,722320,Caterer,,00:00.0,f17764b5-6377-4019-9ade-5d1c8d5ec8bf,8082124484,543,E,,NE,ST,, ,GRANTS PASS,OR,97526,22:46.0,BTAX-037011-03-2024,22:46.0
808 OHANA GRINDZ,ANGELIZ DAVIS,Inside City Limits,722320,Caterer,,00:00.0,f17764b5-6377-4019-9ade-5d1c8d5ec8bf,8082124484,543,E,,NE,ST,, ,GRANTS PASS,OR,97526,22:46.0,BTAX-037011-03-2024,22:46.0
808 OHANA GRINDZ,PHILIP DAVIS,Inside City Limits,722320,Caterer,,00:00.0,f17764b5-6377-4019-9ade-5d1c8d5ec8bf,8082124484,543,E,,NE,ST,, ,GRANTS PASS,OR,97526,22:46.0,BTAX-037011-03-2024,22:46.0
80HD MASSAGE THERAPY, ,Inside City Limits,621399,Medical-Massage Therapy,,00:00.0,14e94bd6-b2ae-4fc3-8d24-ead325e4ea9f,5416605541,215,6TH,,SE,ST,,207,GRANTS PASS,OR,97526,03:21.0,BTAX-036319-10-2023,03:21.0
80HD MASSAGE THERAPY,BRIDGET DUPZYK,Inside City Limits,621399,Medical-Massage Therapy,,00:00.0,14e94bd6-b2ae-4fc3-8d24-ead325e4ea9f,5416605541,215,6TH,,SE,ST,,207,GRANTS PASS,OR,97526,03:21.0,BTAX-036319-10-2023,03:21.0
A 1 PROFESSIONAL SERVICES LLC ,"JUDITH/WRIGHT, RACHEL  CROTTS",Inside City Limits,541211,Accountant-CPA,,00:00.0,81479916-E51E-467C-A1E9-93888C9E3270,5414766691,1370,ROGUE RIVER,,,HWY,,,GRANTS PASS,OR,97527,24:16.0,BTAX-036698-01-2024,24:16.0
A NAIL DETAIL                 ,"LISA/MATHEWS, AMBER  JOHNSON",Inside City Limits,812113,Nail Salon,,00:00.0,C667CB3C-DB4C-4A70-B524-A0D98957405C,5414729210,1573,6TH,,NE,ST,,,GRANTS PASS,OR,97526,37:34.0,BTAX-035387-08-2023,37:34.0
A RIGHT NOW JEWELRY & REPAIR  ,MATTHEW  O'DEAY,Inside City Limits,448310,Retail-Jewelry Store,,00:00.0,56619E18-82D2-4EF9-9130-1DB1CD8ADBFA,5414796819,629,6TH,,NE,ST,, ,GRANTS PASS,OR,97526,50:53.0,BTAX-035388-08-2023,50:53.0
A TO Z TREE SERVICE INC       ,BRUCE  ZIEGLER,Inside City Limits,541990,Professional-Misc,,00:00.0,12BD65D8-F4F0-4AF2-939E-5104FE1425F2,5417871723,1779,DARRELL,, ,CIR,, ,GRANTS PASS,OR,97527,01:20.0,BTAX-034528-07-2023,01:20.0
A+ SCREEN PRINTING,PERRY SHEEHAN,Inside City Limits,323111,Printing-Commercial,,00:00.0,F51B740C-9B11-4EEE-ABA5-F320377567F6,5414791852,719,CYPRESS,,SW,ST,, ,GRANTS PASS,OR,97526,53:16.0,BTAX-037280-04-2024,53:16.0
A-1 MARKET #3                 ,RAKESH KUMAR  SHARMA,Inside City Limits,445120,Convenience Store,,00:00.0,4532088C-01F9-4BA7-B5B5-10723EB8E46C,5419557100,605,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,45:07.0,BTAX-036392-11-2023,45:07.0
A-1 MINI STORAGE PROPERTIES LLC, ,Inside City Limits,493110,Storage & General Warehousing,,00:00.0,79f872f5-7c8f-44b2-8b0a-37f0b9c79797,5414761525,1935,REDWOOD,, ,AVE,, ,GRANTS PASS,OR,97527,39:49.0,BTAX-035863-09-2023,39:49.0
A-1 MINI STORAGE PROPERTIES LLC,MARCIA NUNN,Inside City Limits,493110,Storage & General Warehousing,,00:00.0,79f872f5-7c8f-44b2-8b0a-37f0b9c79797,5414761525,1935,REDWOOD,, ,AVE,, ,GRANTS PASS,OR,97527,39:49.0,BTAX-035863-09-2023,39:49.0
A-1 ROADSIDE ASSIST & TOWING           , ,Inside City Limits,488410,Towing,,00:00.0,0AC63E73-73F8-4744-BD62-F00B02216B75,5414719595,130,SUSAN,,SW,LN,, ,GRANTS PASS,OR,97526,47:35.0,BTAX-035722-08-2023,47:35.0
