LICENSENUMBER,ContactName,CompanyName,DBA,NumberOfEmployees,Location,CodeNumber,BusinessType,BUSINESSPHONE,OpenedDate,BLGLOBALENTITYEXTENSIONID,situs_addressline1,situs_addressline2,situs_addressline3,situs_predirection,situs_streettype,situs_postdirection,situs_unitorsuite,situs_city,situs_state,situs_postalcode,mailing_addressline1,mailing_addressline2,mailing_addressline3,mailing_predirection,mailing_streettype,mailing_postdirection,mailing_unitorsuite,mailing_city,mailing_state,mailing_postalcode,ISSUEDDATE,EXPIRATIONDATE
BTAX-043015-03-2026,,PLATT ELECTRIC SUPPLY         ,,5,Outside City Limits,444140,Retail-Hardware,9723873600,2/23/1998 0:00,023C8A90-2BB6-43B7-B761-3774E19EDC7B,1980,WASHINGTON,,NW,BLVD,,,GRANTS PASS,OR,97526,ATTN LICENSING DEPARTMENT,,PO BOX 9085,,,,,ADDISON,TX,75001,3/23/2026 12:08,3/31/2027 12:08
BTAX-042897-03-2026,,NORTHCORE USA LLC,,5,Outside City Limits,238910,Excavation - Site Preparation,5033917944,11/8/2012 0:00,ee2f0fde-906f-4e7b-9581-57cb4b17dc1c,,,,,,,,,,,36259,HWY 226,,,,SE,,ALBANY,OR,97322,3/24/2026 15:02,3/31/2027 15:02
BTAX-043900-07-2026,,KEY BANK                      ,,5,Inside City Limits,522110,Finance-Commercial Bank,5414792299,12/7/1993 0:00,9D088F71-F51D-4CD1-8D36-C14A4AB180FD,1646,WILLIAMS,, ,HWY,, ,GRANTS PASS,OR,97527,PO BOX 1865,,,,,,,ALBANY,NY,122011865,7/21/2026 9:27,7/31/2027 9:27
BTAX-041858-09-2025,MOSE WAHLSTROM,MOSE & PARIS WAHLSTROM RENTALS,,2,Outside City Limits,531110,Rental Units/Landlord,5033498559,8/10/2018 0:00,94baf608-9602-4693-b20d-9c331ace43d9,,,,,,,,,,,19075,MADELINE,,SW,ST,,,ALOHA,OR,97078,9/23/2025 10:56,9/30/2026 10:56
BTAX-043935-07-2026,,LIN R ROGERS ELECTRICAL CONTRACTORS INC,,5,Outside City Limits,238210,Contractor-Electrical,7707723400,11/3/2014 0:00,BEC4C764-60F2-4C87-8088-802E3DE96710,,,,,,,,,,,2050,MARCONI,,,DR,,SUITE 100,ALPHARETTA,GA,30005,7/27/2026 10:30,7/31/2027 10:30
BTAX-042112-10-2025,JERRY DIETRICK,JERRY DIETRICK CONSTRUCTION INC,,3,Outside City Limits,238190,Contractor-General/Building Exterior,5418460343,8/9/2002 0:00,5E827CD1-D885-4F82-866E-E5B8B95FA4BB,,,,,,,,,,,9491,THOMPSON CREEK,,,RD,,,APPLEGATE,OR,97530,10/23/2025 10:17,10/31/2026 10:17
BTAX-042654-01-2026,CLAY ROARK,INDUSTRIAL BOLT AND SUPPLY INC,,2,Inside City Limits,444140,Retail-Hardware,5414742212,2/2/2016 0:00,7f6671f7-d92e-4bef-bb97-c07c2bb50616,1616,DOWELL,,,RD,,SUITE D/E,GRANTS PASS,OR,97527,7111,COOPER,,S,ST,,SUITE 175,ARLINGTON,TX,76001,1/20/2026 14:30,1/31/2027 14:30
BTAX-041371-08-2025,,IBM CORPORATION               ,,1,Outside City Limits,541519,Computer Services,9147651915,12/20/2006 0:00,FD89CF2E-EF70-4AEC-914B-0E9FB667EB12,,,,,,,,,,,1,CASTLE,,,DR,,MD 243,ARMONK,NY,10504,8/19/2025 10:21,8/31/2026 10:21
BTAX-041471-08-2025,KAREN MORRIS,THE CLEANING CREW LLC        ,,4,Outside City Limits,561720,Cleaning Service,5416016236,1/1/2005 0:00,49DDDB4E-AA38-4CCE-9819-CBE0CD63D5CC,258,A,,,ST,,20,ASHLAND,OR,97520,1467,SISKIYOU ,,,BLVD,,#213,ASHLAND,OR,97520,8/20/2025 14:47,8/31/2026 14:47
BTAX-041816-09-2025,,TRUE SOUTH SOLAR INC          ,,7,Outside City Limits,238220,Solar Equipment Installation,5418166230,8/31/2010 0:00,3B2C6358-F750-4A23-9D51-11F6F3DEA732,,,,,,,,,,,125,CLEAR CREEK,,,DR,,,ASHLAND,OR,97520,9/18/2025 12:53,9/30/2026 12:53
