CompanyName,ContactName,Location,CodeNumber,BusinessType,dba,OpenedDate,BLGLOBALENTITYEXTENSIONID,BusinessPhone,ADDRESSLINE1,ADDRESSLINE2,ADDRESSLINE3,PREDIRECTION,STREETTYPE,POSTDIRECTION,UNITORSUITE,CITY,STATE,POSTALCODE,ISSUEDDATE,LICENSENUMBER,EXPIRATIONDATE
,DONALD ODEN,Inside City Limits,811122,Auto-Glass Replacement Shop,,1986-04-01 00:00:00.000,A5CDB9C6-1891-4107-9522-89F946E81935,5414794444,307,G,,SW,ST,,,GRANTS PASS,OR,97526,2025-07-16 08:44:18.000,BTAX-040786-07-2025,2026-07-31 08:44:18.000
,Stephanie Cook Thomas,Inside City Limits,522291,Finance-Consumer Lending,,1999-10-18 00:00:00.000,CC2BC739-B64B-4461-AEBB-187F0C62F41E,5412267400,COMPLIANCE,PO BOX 85304,,,,,,SAN DIEGO,CA,921865304,2025-07-29 13:38:34.000,BTAX-041034-07-2025,2026-07-31 13:38:34.000
,NISHA JACKSON,Inside City Limits,621498,Medical-Outpatient Care Center,ONE PEAK MEDICAL GP 7TH ST,2020-03-01 00:00:00.000,47bc16ca-bd70-42b0-a924-e4cc5c7a0754,5412377420,2040,COMMERCE,,,,,,MEDFORD,OR,97504,2025-05-20 15:32:47.000,BTAX-040402-05-2025,2026-05-31 15:32:47.000
,NICK  BAIDA,Inside City Limits,812320,Dry Cleaning Services,,2006-12-01 00:00:00.000,7DFE1F9C-709F-4D82-BE36-9963FAE7A5EC,5419971608,2855,"MAIN ",,E,ST,,,ASHLAND,OR,97520,2026-01-20 14:53:40.000,BTAX-042660-01-2026,2026-12-31 14:53:40.000
,ZACHARY HALSTEAD,Outside City Limits,238190,Contractor-General/Building Exterior,3:23 CONSTRUCTION,2015-03-07 00:00:00.000,8bd95759-f6fd-4fc3-8122-9ad4c7619b09,5412261395,1242,GREENVALLEY,,,DR,,,CAVE JUNCTION,OR,97523,2025-07-22 10:42:05.000,BTAX-040854-07-2025,2026-07-31 10:42:05.000
,DAVID NEYLAN,Inside City Limits,522291,Finance-Consumer Lending,,1999-10-18 00:00:00.000,CC2BC739-B64B-4461-AEBB-187F0C62F41E,5412267400,COMPLIANCE,PO BOX 85304,,,,,,SAN DIEGO,CA,921865304,2025-07-29 13:38:34.000,BTAX-041034-07-2025,2026-07-31 13:38:34.000
,NISHA JACKSON,Inside City Limits,621498,Medical-Outpatient Care Center,ONE PEAK MEDICAL GP 7TH ST,2020-03-01 00:00:00.000,47bc16ca-bd70-42b0-a924-e4cc5c7a0754,5412377420,2040,COMMERCE,,,,,,MEDFORD,OR,97504,2025-05-20 15:32:47.000,BTAX-040402-05-2025,2026-05-31 15:32:47.000
,MICHAEL CONNER,Outside City Limits,238190,Contractor-General/Building Exterior,,2004-08-02 00:00:00.000,10C13320-A479-4E90-A83A-EED64574532E,5412266457,110,KINCAID,,,RD,,,WILLIAMS,OR,97544,2025-08-12 14:35:56.000,BTAX-041186-08-2025,2026-08-31 14:35:56.000
," ",Outside City Limits,238190,Contractor-General/Building Exterior,3:23 CONSTRUCTION,2015-03-07 00:00:00.000,8bd95759-f6fd-4fc3-8122-9ad4c7619b09,5412261395,1242,GREENVALLEY,,,DR,,,CAVE JUNCTION,OR,97523,2025-07-22 10:42:05.000,BTAX-040854-07-2025,2026-07-31 10:42:05.000
," ",Inside City Limits,522291,Finance-Consumer Lending,,1999-10-18 00:00:00.000,CC2BC739-B64B-4461-AEBB-187F0C62F41E,5412267400,COMPLIANCE,PO BOX 85304,,,,,,SAN DIEGO,CA,921865304,2025-07-29 13:38:34.000,BTAX-041034-07-2025,2026-07-31 13:38:34.000
,JONATHAN & CARRIE  ROBERTSON,Outside City Limits,238210,Contractor-Electrical,,1986-01-01 00:00:00.000,a391fb91-1c85-46f8-9740-1bec288f1f0d,(541) 512-0530,1708,WAGON TRAIL,,,DR,,,JACKSONVILLE,OR,97530,2026-03-10 12:43:35.000,BTAX-042937-03-2026,2027-03-31 12:43:35.000
," ",Outside City Limits,238190,Contractor-General/Building Exterior,,2004-08-02 00:00:00.000,10C13320-A479-4E90-A83A-EED64574532E,5412266457,110,KINCAID,,,RD,,,WILLIAMS,OR,97544,2025-08-12 14:35:56.000,BTAX-041186-08-2025,2026-08-31 14:35:56.000
,JONATHAN & CARRIE  ROBERTSON,Outside City Limits,238210,Contractor-Electrical,,1986-01-01 00:00:00.000,a391fb91-1c85-46f8-9740-1bec288f1f0d,(541) 512-0530,1708,WAGON TRAIL,,,DR,,,JACKSONVILLE,OR,97530,2026-03-10 12:43:35.000,BTAX-042937-03-2026,2027-03-31 12:43:35.000
,LANCE WOODBURY,Inside City Limits,447190,Gas Station,,2018-07-12 00:00:00.000,aa2d9930-d16e-4e4e-8d1d-fd691703ae5a,5032248500,3125,35TH,,NW,AVE,,,PORTLAND,OR,97210,2025-10-21 10:08:40.000,BTAX-042093-10-2025,2026-10-31 10:08:40.000
,JONATHAN ROBERTSON,Outside City Limits,238210,Contractor-Electrical,,1986-01-01 00:00:00.000,a391fb91-1c85-46f8-9740-1bec288f1f0d,(541) 512-0530,1708,WAGON TRAIL,,,DR,,,JACKSONVILLE,OR,97530,2026-03-10 12:43:35.000,BTAX-042937-03-2026,2027-03-31 12:43:35.000
,LANCE WOODBURY,Inside City Limits,447190,Gas Station,,1997-11-17 00:00:00.000,23DC13D3-08A5-4B8D-B045-1FAB7EF8DD19,5032248500,3125,35TH,,NW,AVE,,,PORTLAND,OR,97210,2025-10-21 10:16:40.000,BTAX-042095-10-2025,2026-10-31 10:16:40.000
," ",Inside City Limits,453998,All Other Miscellaneous Store Retailers (Except Tobacco Stores),NECTAR,2021-07-27 00:00:00.000,f64d0c8b-d17a-455e-b213-93f7a0e031bf,5039126773,18066,AIRPORT,,NE,WAY,,,PORTLAND,OR,97230,2025-08-14 16:06:37.000,BTAX-041225-08-2025,2026-08-31 16:06:37.000
," ",Outside City Limits,238190,Contractor-General/Building Exterior,,2022-11-22 00:00:00.000,0e329b59-98fe-4458-8c5f-89690260d243,(541) 659-8240,269,MOREWOOD,,,LN,,,GRANTS PASS,OR,97526,2025-04-28 13:16:07.000,BTAX-040280-04-2025,2026-04-30 13:16:07.000
,MAT CLEARY,Inside City Limits,453998,All Other Miscellaneous Store Retailers (Except Tobacco Stores),NECTAR,2021-07-27 00:00:00.000,f64d0c8b-d17a-455e-b213-93f7a0e031bf,5039126773,18066,AIRPORT,,NE,WAY,,,PORTLAND,OR,97230,2025-08-14 16:06:37.000,BTAX-041225-08-2025,2026-08-31 16:06:37.000
,MICAH LEE MISTY LEE,Outside City Limits,488410,Towing,,2022-10-18 00:00:00.000,7f572cb8-5a49-4bf4-893d-d455b893f518,5034578534,PO BOX 321,,,,,,,ESTACADA,OR,970230321,2025-10-22 14:10:45.000,BTAX-042105-10-2025,2026-10-31 14:10:45.000
1ST CHOICE WINDOWS DOORS & MORE INC.,"LEN FISHER, ERIK OTT",Inside City Limits,425120,Wholesale Agent,,2016-07-18 00:00:00.000,eb2478eb-702d-40f9-a345-ae75f2d97144,5419566185,1470,M,,SE,ST,,#2A,GRANTS PASS,OR,97526,2025-08-18 16:05:51.000,BTAX-041345-08-2025,2026-07-31 16:05:51.000
1ST CHOICE WINDOWS DOORS & MORE INC.," ",Inside City Limits,425120,Wholesale Agent,,2016-07-18 00:00:00.000,eb2478eb-702d-40f9-a345-ae75f2d97144,5419566185,1470,M,,SE,ST,,#2A,GRANTS PASS,OR,97526,2025-08-18 16:05:51.000,BTAX-041345-08-2025,2026-07-31 16:05:51.000
"3 BOYS CLASSIC TOWING         ",RICHY & TERESA  LUKER,Inside City Limits,488410,Towing,,1992-03-19 00:00:00.000,688989EB-44E7-48BC-B5CD-89034F69EBF1,5414793530,1537,ROGUE RIVER,,,HWY,,,GRANTS PASS,OR,97527,2025-07-14 16:05:07.000,BTAX-040728-07-2025,2026-07-31 16:05:07.000
"3 SEVENS TATTOO               ",JEREMY  ELLEDGE,Inside City Limits,812199,Tattoo/Piercing Shop,,2008-01-15 00:00:00.000,A76D8C40-D171-44A0-9955-D06699A0FE1E,5418909777,1240,MARCUS,,,WAY,,,GRANTS PASS,OR,97527,2025-07-22 11:54:52.000,BTAX-040863-07-2025,2026-07-31 11:54:52.000
3-D CONSTRUCTION,David Dense,Outside City Limits,238190,Contractor-General/Building Exterior,,2018-06-11 00:00:00.000,31f019ba-2613-4ee3-8738-af90aaebecb5,5415802065,711,DOERNER,,,RD,,,ROSEBURG,OR,97471,2026-03-16 11:37:35.000,BTAX-042971-03-2026,2027-03-31 11:37:35.000
3-D CONSTRUCTION,DAVID DENSE,Outside City Limits,238190,Contractor-General/Building Exterior,,2018-06-11 00:00:00.000,31f019ba-2613-4ee3-8738-af90aaebecb5,5415802065,711,DOERNER,,,RD,,,ROSEBURG,OR,97471,2026-03-16 11:37:35.000,BTAX-042971-03-2026,2027-03-31 11:37:35.000
"3M CONSTRUCTION, LLC"," ",Outside City Limits,238190,Contractor-General/Building Exterior,,2018-04-23 00:00:00.000,88e97bdd-8418-4a12-bf71-f9881ed44dfd,5414419955,2655,HUGO,,,RD,,,MERLIN,OR,97532,2025-05-27 16:05:37.000,BTAX-040437-05-2025,2026-05-31 16:05:37.000
"3M CONSTRUCTION, LLC",PHILLIP MARSHALL,Outside City Limits,238190,Contractor-General/Building Exterior,,2018-04-23 00:00:00.000,88e97bdd-8418-4a12-bf71-f9881ed44dfd,5414419955,2655,HUGO,,,RD,,,MERLIN,OR,97532,2025-05-27 16:05:37.000,BTAX-040437-05-2025,2026-05-31 16:05:37.000
"3R'S TUTORING                 ",MAUREEN  MCCARTHY,Inside City Limits,611710,Educational Support Services,,2007-07-09 00:00:00.000,421FECD8-B73F-45B2-AF9A-3ED6D694D5A2,5414412689,1210,"ORIOLE ",,SE,ST,,,GRANTS PASS,OR,97526,2025-07-31 11:47:16.000,BTAX-041042-07-2025,2026-07-31 11:47:16.000
