number,number_suffix,directional,pre_modifier,pre_type,separator,street_name,street_type,subaddress_type,subaddress_id,floor,building,zip,postal_community,state,status,longitude,latitude,x,y
1561,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13737601.8154,5241163.436300002,-13737601.8154,5241163.436300002
1721,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13737328.236,5241360.652900003,-13737328.236,5241360.652900003
1689,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13737432.154,5241257.528099999,-13737432.154,5241257.528099999
140,,,,,,ENTERPRISE,AVENUE,,,,,97532,MERLIN,OR,Other,-13738713.8981,5239731.8521,-13738713.8981,5239731.8521
757,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738536.9472,5239496.359399997,-13738536.9472,5239496.359399997
735,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738658.694600001,5239602.958300002,-13738658.694600001,5239602.958300002
656,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738819.8522,5239568.427000001,-13738819.8522,5239568.427000001
739,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738471.206799999,5239481.948200002,-13738471.206799999,5239481.948200002
654,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738893.7353,5239513.306000002,-13738893.7353,5239513.306000002
701,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738689.9672,5239529.317699999,-13738689.9672,5239529.317699999
650,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738820.1142,5239519.538800001,-13738820.1142,5239519.538800001
649,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738700.2303,5239437.937700003,-13738700.2303,5239437.937700003
635,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738783.4575,5239417.2082,-13738783.4575,5239417.2082
755,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738250.2249,5239431.679700002,-13738250.2249,5239431.679700002
601,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738744.831799999,5239363.701399997,-13738744.831799999,5239363.701399997
745,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738261.1877,5239653.0506,-13738261.1877,5239653.0506
10000,,,,,,MERLIN SANITARIUM,ROAD,,,,,97532,MERLIN,OR,Other,-13738698.498399999,5235496.978500001,-13738698.498399999,5235496.978500001
170,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13738218.2452,5237824.578400001,-13738218.2452,5237824.578400001
605,,,,,,MERLIN,ROAD,,,,,97532,MERLIN,OR,Other,-13738548.607,5237735.596500002,-13738548.607,5237735.596500002
724,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13738054.260499999,5237754.8442,-13738054.260499999,5237754.8442
755,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13738405.2128,5237698.191799998,-13738405.2128,5237698.191799998
840,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13738229.695700001,5237734.242700003,-13738229.695700001,5237734.242700003
878,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13738163.9505,5237715.079400003,-13738163.9505,5237715.079400003
851,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13738256.4148,5237659.337399997,-13738256.4148,5237659.337399997
910,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13738114.5497,5237692.102300003,-13738114.5497,5237692.102300003
954,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13738040.7986,5237657.291199997,-13738040.7986,5237657.291199997
605,,,,,,MERLIN SANITARIUM,ROAD,,,,,97532,MERLIN,OR,Other,-13738706.6906,5237404.8325999975,-13738706.6906,5237404.8325999975
1215,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13737946.249499999,5240437.8693,-13737946.249499999,5240437.8693
1257,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13737714.4903,5240531.025399998,-13737714.4903,5240531.025399998
1351,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13737896.8594,5240780.167800002,-13737896.8594,5240780.167800002
1301,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13737953.0737,5240686.729199998,-13737953.0737,5240686.729199998
1245,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13737841.262400001,5240557.702399999,-13737841.262400001,5240557.702399999
1150,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737719.2852,5237595.0852999985,-13737719.2852,5237595.0852999985
1015,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737809.3717,5236792.960500002,-13737809.3717,5236792.960500002
1293,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737462.057300001,5237180.751900002,-13737462.057300001,5237180.751900002
125,,,,,,MAUPIN,LANE,,,,,97532,MERLIN,OR,Other,-13737967.001,5237282.705700003,-13737967.001,5237282.705700003
173,,,,,,MAUPIN,LANE,,,,,97532,MERLIN,OR,Other,-13737966.7837,5237127.693800002,-13737966.7837,5237127.693800002
1013,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13738354.2944,5236796.148199998,-13738354.2944,5236796.148199998
1196,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737617.8849,5237507.9208,-13737617.8849,5237507.9208
1061,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737976.140700001,5237465.055500001,-13737976.140700001,5237465.055500001
1110,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737781.235199999,5237524.631700002,-13737781.235199999,5237524.631700002
1120,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737730.5266,5237498.250100002,-13737730.5266,5237498.250100002
1111,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737812.0979,5237270.703199998,-13737812.0979,5237270.703199998
1155,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737711.9143,5237171.326300003,-13737711.9143,5237171.326300003
1171,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737704.5233,5237330.114799999,-13737704.5233,5237330.114799999
1211,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737594.9577,5237214.7267,-13737594.9577,5237214.7267
934,,,,,,MERLIN SANITARIUM,ROAD,,,,,97532,MERLIN,OR,Other,-13738900.6573,5236525.091700003,-13738900.6573,5236525.091700003
345,,,,,,MERLIN,ROAD,,,,,97532,MERLIN,OR,Other,-13738996.430100001,5238440.628899999,-13738996.430100001,5238440.628899999
450,,,,,,MERLIN,ROAD,,,,,97532,MERLIN,OR,Other,-13738812.9311,5238287.128399998,-13738812.9311,5238287.128399998
101,,,,,,ACORN,STREET,,,,,97532,MERLIN,OR,Other,-13738945.1595,5238092.405599996,-13738945.1595,5238092.405599996
561,,,,,,MERLIN,ROAD,,,,,97532,MERLIN,OR,Other,-13738746.1842,5238129.183700003,-13738746.1842,5238129.183700003
105,,,,,,MERLIN SANITARIUM,ROAD,,,,,97532,MERLIN,OR,Other,-13738773.813000001,5238028.422499999,-13738773.813000001,5238028.422499999
1415,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737261.514600001,5237073.301700003,-13737261.514600001,5237073.301700003
1270,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737482.2566,5237438.709200002,-13737482.2566,5237438.709200002
1298,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737326.0588,5237350.373099998,-13737326.0588,5237350.373099998
111,,,,,,HAINES,LANE,,,,,97532,MERLIN,OR,Other,-13738791.8243,5238562.435599998,-13738791.8243,5238562.435599998
310,,,,,,MERLIN,ROAD,,,,,97532,MERLIN,OR,Other,-13738999.0519,5238544.5198,-13738999.0519,5238544.5198
111,,,,,,TAVIS,DRIVE,,,,,97532,MERLIN,OR,Other,-13738880.875300001,5239433.9098000005,-13738880.875300001,5239433.9098000005
143,,,,,,TAVIS,DRIVE,,,,,97532,MERLIN,OR,Other,-13738939.662999999,5239392.766800001,-13738939.662999999,5239392.766800001
568,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738897.4169,5239321.638899997,-13738897.4169,5239321.638899997
160,,,,,,TAVIS,DRIVE,,,,,97532,MERLIN,OR,Other,-13738953.6775,5239305.9296,-13738953.6775,5239305.9296
560,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738928.0952,5239253.644299999,-13738928.0952,5239253.644299999
105,,,,,,TAVIS,DRIVE,,,,,97532,MERLIN,OR,Other,-13738868.0846,5239355.809600003,-13738868.0846,5239355.809600003
487,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13739026.9889,5239123.094499998,-13739026.9889,5239123.094499998
434,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738949.984000001,5239105.472099997,-13738949.984000001,5239105.472099997
301,,,,,,HAINES,LANE,,,,,97532,MERLIN,OR,Other,-13738796.1434,5238951.219800003,-13738796.1434,5238951.219800003
529,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738690.6829,5239013.308200002,-13738690.6829,5239013.308200002
310,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738904.4065,5238961.9026999995,-13738904.4065,5238961.9026999995
110,,,,,,HAINES,LANE,,,,,97532,MERLIN,OR,Other,-13738929.7889,5238889.244499996,-13738929.7889,5238889.244499996
303,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738997.821,5238869.794399999,-13738997.821,5238869.794399999
131,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738817.1284,5238813.094899997,-13738817.1284,5238813.094899997
555,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738727.1397,5239307.3418999985,-13738727.1397,5239307.3418999985
535,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738700.019299999,5239175.363799997,-13738700.019299999,5239175.363799997
483,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738798.6884,5239165.0852999985,-13738798.6884,5239165.0852999985
484,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738938.3529,5239185.625600003,-13738938.3529,5239185.625600003
875,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738491.758000001,5239772.947899997,-13738491.758000001,5239772.947899997
273,,,,,,MABLEANN,LANE,,,,,97532,MERLIN,OR,Other,-13738130.7555,5239885.6756,-13738130.7555,5239885.6756
749,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738259.6292,5239759.831299998,-13738259.6292,5239759.831299998
219,,,,,,MABLEANN,LANE,,,,,97532,MERLIN,OR,Other,-13738313.1001,5239851.151500002,-13738313.1001,5239851.151500002
753,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13737809.286,5239537.452600002,-13737809.286,5239537.452600002
181,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13738419.0632,5237867.736400001,-13738419.0632,5237867.736400001
159,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13738544.9343,5237930.064499997,-13738544.9343,5237930.064499997
1080,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737912.944400001,5237662.844999999,-13737912.944400001,5237662.844999999
295,,,,,,MABLEANN,LANE,,,,,97532,MERLIN,OR,Other,-13738130.230999999,5239985.859300002,-13738130.230999999,5239985.859300002
276,,,,,,MABLEANN,LANE,,,,,97532,MERLIN,OR,Other,-13738221.8616,5240002.532300003,-13738221.8616,5240002.532300003
204,,,,,,MABLEANN,LANE,,,,,97532,MERLIN,OR,Other,-13738309.8639,5239944.6105,-13738309.8639,5239944.6105
172,,,,,,MABLEANN,LANE,,,,,97532,MERLIN,OR,Other,-13738403.2049,5239935.636100002,-13738403.2049,5239935.636100002
1106,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737825.8964,5237562.0898,-13737825.8964,5237562.0898
1510,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13736947.9548,5237115.348499998,-13736947.9548,5237115.348499998
1300,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737145.6232,5237240.366700001,-13737145.6232,5237240.366700001
1557,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13737612.1942,5241085.129000001,-13737612.1942,5241085.129000001
992,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13737913.1371,5237662.8411,-13737913.1371,5237662.8411
1401,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13737840.499499999,5240876.3072,-13737840.499499999,5240876.3072
1525,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13737671.000500001,5241046.944300003,-13737671.000500001,5241046.944300003
1513,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13737739.125599999,5240956.021200001,-13737739.125599999,5240956.021200001
1011,,,,,,ORT,LANE,,,,,97532,MERLIN,OR,Other,-13738354.444,5236796.249799997,-13738354.444,5236796.249799997
955,,,,,,MERLIN SANITARIUM,ROAD,,1,,,97532,MERLIN,OR,Other,-13738900.6095,5236525.0886999965,-13738900.6095,5236525.0886999965
955,,,,,,MERLIN SANITARIUM,ROAD,,2,,,97532,MERLIN,OR,Other,-13738900.6095,5236525.0886999965,-13738900.6095,5236525.0886999965
955,,,,,,MERLIN SANITARIUM,ROAD,,4,,,97532,MERLIN,OR,Other,-13738900.6095,5236525.0886999965,-13738900.6095,5236525.0886999965
955,,,,,,MERLIN SANITARIUM,ROAD,,3,,,97532,MERLIN,OR,Other,-13738900.6095,5236525.0886999965,-13738900.6095,5236525.0886999965
100,,,,,,ACORN,STREET,,,,,97532,MERLIN,OR,Other,-13738921.5439,5238234.940200001,-13738921.5439,5238234.940200001
1651,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13736953.8338,5240678.770999998,-13736953.8338,5240678.770999998
301,,,,,,PLEASANT VALLEY,ROAD,,,,,97532,MERLIN,OR,Other,-13738783.572,5238944.184100002,-13738783.572,5238944.184100002
165,,,,,,SUNBEAM,CIRCLE,,,,,97532,MERLIN,OR,Other,-13738764.7995,5239686.5858,-13738764.7995,5239686.5858
187,,,,,,SUNBEAM,CIRCLE,,,,,97532,MERLIN,OR,Other,-13738811.346099999,5239647.656900004,-13738811.346099999,5239647.656900004
2240,,,,,,JUDY,LANE,,,,,97526,GRANTS PASS,OR,Other,-13731907.8192,5226619.0581,-13731907.8192,5226619.0581
