FULLADDRESS,NOTIFICATION,STATUS,AddressType,CompleteStreetAddress,Add_Number,AddNum_Suf,St_PreDir,AbbreviatedPreDirectional,StreetNamePreModifier,StreetNamePreType,StreetNameSeparator,St_Name,St_PosTyp,AbbreviatedPostType,SubaddressType,SubaddressIdentifier,Floor,Building,Post_Code,NOTES,GlobalID,created_user,created_date,last_edited_user,last_edited_date,CompleteAddressNumber,CompleteStreetName,CompleteSubaddress,PlaceStateZip,Post_Comm,StateName,Inc_Muni,Uninc_Comm,x,y,longitude,latitude
1561 PLEASANT VALLEY RD,,Other,,1561 PLEASANT VALLEY ROAD ,1561,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{30C1A1A4-EA21-4753-B7C9-4FD05D99E541},,,GPGIS,6/27/2023 17:38:41,1561,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737601.815400000661612,5241163.436300002038479,-123.406976779999994,42.533038110000000
1721 PLEASANT VALLEY RD,,Other,,1721 PLEASANT VALLEY ROAD ,1721,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{2EF37FB0-32BF-469B-91AF-8C912EF261DE},,,GPGIS,6/27/2023 17:38:41,1721,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737328.235999999567866,5241360.652900002896786,-123.404519170000000,42.534343589999999
1689 PLEASANT VALLEY RD,,Other,,1689 PLEASANT VALLEY ROAD ,1689,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{8036B138-0F16-46EC-9BB2-1384C6A7528A},,,GPGIS,6/27/2023 17:38:41,1689,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13737432.153999999165535,5241257.528099998831749,-123.405452679999996,42.533660949999998
140 ENTERPRISE AVE,,Other,,140 ENTERPRISE AVENUE ,140,,,,,,,ENTERPRISE,AVENUE,AVE,,,,,97532,,{D46CFE7A-9047-44F9-812D-F1A3EFA2AD68},,,GPGIS,6/27/2023 17:38:41,140,ENTERPRISE AVENUE,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738713.898099999874830,5239731.852099999785423,-123.416966790000004,42.523560910000000
757 PLEASANT VALLEY RD,,Other,,757 PLEASANT VALLEY ROAD ,757,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{2315F883-1166-46E6-88A3-B9CA4EA29A01},,,GPGIS,6/27/2023 17:38:41,757,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738536.947200000286102,5239496.359399996697903,-123.415377210000003,42.522001789999997
735 PLEASANT VALLEY RD,,Other,,735 PLEASANT VALLEY ROAD ,735,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{548E8F44-19FC-434D-A9CE-D143FAF94D68},,,GPGIS,6/27/2023 17:38:41,735,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738658.694600000977516,5239602.958300001919270,-123.416470889999999,42.522707550000000
656 PLEASANT VALLEY RD,,Other,,656 PLEASANT VALLEY ROAD ,656,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{56AA01BC-8322-4EF7-A5CE-7F6ED0E6EBB3},,,GPGIS,6/27/2023 17:38:41,656,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738819.852199999615550,5239568.427000001072884,-123.417918589999999,42.522478929999998
739 PLEASANT VALLEY RD,,Other,,739 PLEASANT VALLEY ROAD ,739,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{C5E5045E-F853-4AC5-97D1-F5690C06E9DE},,,GPGIS,6/27/2023 17:38:41,739,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738471.206799998879433,5239481.948200002312660,-123.414786660000004,42.521906379999997
654 PLEASANT VALLEY RD,,Other,,654 PLEASANT VALLEY ROAD ,654,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{5FB20016-8F16-4763-97F3-A833F04A7B1F},,,GPGIS,6/27/2023 17:38:41,654,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738893.735300000756979,5239513.306000001728535,-123.418582290000003,42.522113990000001
701 PLEASANT VALLEY RD,,Other,,701 PLEASANT VALLEY ROAD ,701,,,,,,,PLEASANT VALLEY,ROAD,RD,,,,,97532,,{95EBAE75-3429-4DDB-A773-E666F9058CC9},,,GPGIS,6/27/2023 17:38:41,701,PLEASANT VALLEY ROAD,,"MERLIN, OR 97532",MERLIN,OR,,MERLIN,-13738689.967199999839067,5239529.317699998617172,-123.416751809999994,42.522219999999997
